golden_id,customer_tweet_id,brand_tweet_id,customer_author_id,current_customer_message,historical_brand_response,conversation_context,context_turn_count,customer_created_at,brand_created_at,candidate_intent,candidate_score,candidate_second_score,candidate_margin,candidate_matches,candidate_action,candidate_action_matches,escalation_flags,escalation_candidate,ambiguity_score,ambiguity_reasons,ambiguity_candidate,_clean_current,hard_score,escalation_strength,sampling_reason
AMZ-0001,505760,505759,236018,@AmazonHelp It says delivered between 2nd and 4th now,@236018 Thank you for letting us know. Late orders usually arrive within 1-2 working days. Let us know if you don't receive it by Monday evening! ^SB,"Customer: @AmazonHelp It's 9pm now. I'm going to work now
AmazonHelp: @236018 I'm sorry to hear it hasn't arrived. Without posting account info, what's the most updated tracking details here: https://t.co/aaDyEz1VgE? Has the delivery date changed? ^LI
Customer: @AmazonHelp It says delivered between 2nd and 4th now",3,Fri Dec 01 21:14:03 +0000 2017,Fri Dec 01 21:26:00 +0000 2017,delivery,3,2,1,says delivered; says delivered,information,['details'],missing_delivery,True,6,"['deictic_reference', 'context_dependent', 'competing_intents']",True,it says delivered between 2nd and 4th now,9.0,,ambiguous;escalation;context_heavy
AMZ-0002,726384,726386,293997,@AmazonHelp Have filled it up,@293997 Thanks for filling the details. We'll get back to you as soon as possible. ^HS,"Customer: @115850 product not delivered but status updated as recd by customer! Number blocked for raising complain after 5 calls. No reply 2mails
AmazonHelp: @293997 I apologize for the unpleasant experience. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. ^VH
Customer: @AmazonHelp Have filled it up",3,Thu Oct 12 16:25:21 +0000 2017,Thu Oct 12 16:42:28 +0000 2017,delivery,2,0,2,not delivered; delivered but,phone_chat,['call'],missing_delivery,True,6,"['short_message', 'deictic_reference', 'context_dependent']",True,have filled it up,9.0,,ambiguous;escalation;context_heavy
AMZ-0003,80847,80849,133936,@AmazonHelp Apparently it's been delivered... But it hasn't. Obviously delivered to the wrong address (Not the first time by an Amazon Driver). So now something that I needed for tomorrow is not here. Fantastic...,@133936 Oh no! Thanks for letting us know! Have you tried the steps listed here: https://t.co/5ICQJg4vkM to try to locate the parcel? ^JO,"Customer: @AmazonHelp Please hurry up with your drone delivery technology. The actual human delivery drivers you employ are useless! Next day delivery... Yeah Right!!
AmazonHelp: @133936 Thank you for reaching out today! Are you currently waiting on an outstanding order? Please let us know. We're happy to help! ^JS
Customer: @AmazonHelp Apparently it's been delivered... But it hasn't. Obviously delivered to the wrong address (Not the first time by an Amazon Driver). So now something that I needed for tomorrow is not here. Fantastic...",3,Thu Nov 30 20:34:57 +0000 2017,Thu Nov 30 20:42:34 +0000 2017,delivery,3,3,0,delivered but; delivered but,acknowledgement,['happy to help'],missing_delivery,True,4,"['deictic_reference', 'competing_intents']",True,apparently it's been delivered but it hasn't obviously delivered to the wrong address not the first time by an amazon driver so now something that i needed for tomorrow is not here fantastic,7.0,,ambiguous;escalation;context_heavy
AMZ-0004,536589,536590,244333,@AmazonHelp I have already report the same 5 times in a day... I have been assured that I will get a call from amazon agent and products will get delivered but there is no response.,@244333 I understand your concern. We'd like to assist you with this. Kindly drop your details here: https://t.co/beaaDm0muc and we'll get in touch with you soon. ^BV,"Customer: @AmazonHelp Rcvd msg from amazon for product out for delivery. Since there r three items I have rcvd msg of two agents n their respective numbers who will b delivering the items but I have been trying to reach them since morning but none of them answering and disconnecting the calls.
AmazonHelp: @244333 We apologize for the hassle regarding delivery. Kindly report this to our support team here: https://t.co/rS49hgaADF and we'll assist you accordingly. ^VH
Customer: @AmazonHelp I have already report the same 5 times in a day... I have been assured that I will get a call from amazon agent and products will get delivered but there is no response.",3,Sat Dec 02 13:56:06 +0000 2017,Sat Dec 02 14:19:58 +0000 2017,delivery,3,3,0,delivered but; delivered but,phone_chat,['call'],missing_delivery,True,4,"['deictic_reference', 'competing_intents']",True,i have already report the same 5 times in a day i have been assured that i will get a call from amazon agent and products will get delivered but there is no response,7.0,,ambiguous;escalation;context_heavy
AMZ-0005,2392605,2392606,688995,"@AmazonHelp The order is listed on my screen as ""preparing dispatch"" and ""delivering today"". When I click on the order, it says ""delivered""... That doesn't mean much to me. I was told to re-order and I'd receive a refund for the original order. No refund yet though. #confused",@688995 Have you received an e-mail confirming your refund? Refunds typically take 5-7 business days to process to your original payment method. ^AB,"Customer: @AmazonHelp Hi Guys, I've been on the Livechat - they've said it's an internal packing error. They've advised I reorder, and will get a refund for the old order (though that refund hasn't happened yet). I can send package photos if useful?? I'm a bit confused TBH.
AmazonHelp: @688995 So it was an order that was missing? Did they confirm your refund via email? ^MI
Customer: @AmazonHelp The order is listed on my screen as ""preparing dispatch"" and ""delivering today"". When I click on the order, it says ""delivered""... That doesn't mean much to me. I was told to re-order and I'd receive a refund for the original order. No refund yet though. #confused",3,Tue Nov 14 13:46:20 +0000 2017,Tue Nov 14 14:09:00 +0000 2017,delivery,3,3,0,says delivered; says delivered,phone_chat,['chat'],missing_delivery,True,4,"['deictic_reference', 'competing_intents']",True,the order is listed on my screen as preparing dispatch and delivering today when i click on the order it says delivered that doesn't mean much to me i was told to re order and i'd receive a refund for the original order no refund yet though,7.0,,ambiguous;escalation;context_heavy
AMZ-0006,577727,577729,255996,@AmazonHelp Yes and I've been on the phone with Amazon logistics for hours. HOURS. And no one can give me answers. I just want the things I purchased. This is so ridiculous I am so tired of talking to Amazon logistics more than I talk to the person I live with. Wish I was joking,"@255996 Hi Abby, really sorry to hear this. What info did you receive when you contacted us? ^JC.","Customer: @115821 @AmazonHelp Ive been a prime member for years. Order DAILY. And I now can't get anything on time. Not one package. Most get lost and I end up having to go to Walmart to purchase things. You are about to lose a serious customer.
AmazonHelp: @255996 Hi Abby, sorry to hear about the issues. Are you currently experiencing an issue with an order?^PJ
Customer: @AmazonHelp Yes and I've been on the phone with Amazon logistics for hours. HOURS. And no one can give me answers. I just want the things I purchased. This is so ridiculous I am so tired of talking to Amazon logistics more than I talk to the person I live with. Wish I was joking",3,Sun Dec 03 10:10:02 +0000 2017,Sun Dec 03 10:28:00 +0000 2017,delivery,3,3,0,amazon logistics; amazon logistics,phone_chat,"['phone', 'talk to']",high_frustration,True,4,"['deictic_reference', 'competing_intents']",True,yes and i've been on the phone with amazon logistics for hours hours and no one can give me answers i just want the things i purchased this is so ridiculous i am so tired of talking to amazon logistics more than i talk to the person i live with wish i was joking,7.0,,ambiguous;escalation;context_heavy
AMZ-0007,481607,481608,229473,"@AmazonHelp Yeahh, so it never arrived today 🙁",@229473 Please reach out directly to us via phone/chat here: https://t.co/hApLpM3Ejd ^TN,"Customer: @AmazonHelp It varies. It’s about 50/50 sometimes it arrives on time and lately it hasn’t. The delivery date was supposed to be today but I checked the tracking and the last update was in Buffalo, NY a bit after midnight... not even close to me.
AmazonHelp: @229473 I understand your concern, Evan. Orders can be delivered through 8PM. Please let us know if your order has not arrived by then so that we can take a closer look into this for you. ^SM
Customer: @AmazonHelp Yeahh, so it never arrived today 🙁",3,Sat Dec 02 02:34:37 +0000 2017,Sat Dec 02 02:40:26 +0000 2017,delivery,3,1,2,never arrived; never arrived,investigation,"['look into', 'look into this']",missing_delivery,True,4,"['deictic_reference', 'context_dependent']",True,yeahh so it never arrived today,7.0,,ambiguous;escalation;context_heavy
AMZ-0008,76071,76069,133022,@AmazonHelp It’s Amazon Logistics.,"@133022 Thank you for confirming! When you have the chance, please leave your information here: https://t.co/kXGYOokhkN and a specialist will contact you as soon as possible to get this reported. ^HC","Customer: @AmazonHelp No, I’ve received nothing. Zero outreach or update. Even when the arrived and realized they forgot the package, no notice or anything. I’m the one calling to ask where my stuff is. Date still says 27th (ordered 23rd). https://t.co/1MExeVS8p7
AmazonHelp: @133022 I'm sorry for your poor experience. Can you provide info on who the carrier is: https://t.co/Y5jpI9gRhE ^LL
Customer: @AmazonHelp It’s Amazon Logistics.",3,Thu Nov 30 00:14:06 +0000 2017,Thu Nov 30 00:15:56 +0000 2017,delivery,3,0,3,amazon logistics; amazon logistics,investigation,['amazon logistics'],,False,6,"['short_message', 'deictic_reference', 'context_dependent']",True,it s amazon logistics,7.0,,ambiguous;context_heavy
AMZ-0009,2490677,2490679,389102,"@AmazonHelp thankfully, as far as I can see, it's not broken. But still, they should have not delivered like that. It's unacceptable.",@389102 Thank you for letting us know the condition of your delivery! We'd love to hear your feedback here: https://t.co/lSVN3kb44b ^GP,"Customer: Hi @127161 this is meant to be straight. Instead your driver have delivered like this. Congratulations. Hey, @115830 please stop using them. #useless https://t.co/PTB756lK4S
AmazonHelp: @389102 I'm sorry your order arrived like that, Tony! Have you had the chance to start a return for your product? If not, visit us here: https://t.co/VKvYFGq3oU We're here for you! -Joshua
Customer: @AmazonHelp thankfully, as far as I can see, it's not broken. But still, they should have not delivered like that. It's unacceptable.",3,Wed Nov 15 17:25:41 +0000 2017,Wed Nov 15 18:06:59 +0000 2017,delivery,3,3,0,not delivered; not delivered,self_service,['visit'],high_frustration,True,4,"['deictic_reference', 'competing_intents']",True,thankfully as far as i can see it's not broken but still they should have not delivered like that it's unacceptable,7.0,,ambiguous;escalation;context_heavy
AMZ-0010,994072,994069,341369,"@115850 order ID 406-4728199-8599526,got msg that it will be delivered today but it's not delivered yet ! Please check","@341369 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^MJ","Customer: @115850 order ID 406-4728199-8599526,got msg that it will be delivered today but it's not delivered yet ! Please check",1,Sat Oct 14 12:00:36 +0000 2017,Sat Oct 14 12:07:31 +0000 2017,delivery,3,0,3,not delivered; not delivered,unknown,[],,False,2,['deictic_reference'],True,order id 406 4728199 8599526 got msg that it will be delivered today but it's not delivered yet please check,2.0,,ambiguous
